"path","animation","frame","rect","finding","width","height","alphaType","alpha0Ratio","alphaPartialRatio","alpha255Ratio","partialVisibleRatio","minAlpha","maxAlpha","meanAlpha","visibleBounds"
"assets/characters/3221.png","3221-0","0","0,0,24,59","","24","59","binary","0.5211864406779662","0.0","0.4788135593220339","0.0","0","255","122.09745762711864","0,0,23,58"
"assets/characters/3221.png","3221-0","1","25,0,19,58","","19","58","binary","0.4573502722323049","0.0","0.542649727767695","0.0","0","255","138.37568058076226","25,0,18,57"
"assets/characters/3221.png","3221-0","2","45,0,17,58","","17","58","binary","0.3762677484787018","0.0","0.6237322515212982","0.0","0","255","159.05172413793105","45,0,17,58"
"assets/characters/3221.png","3221-0","3","63,0,21,59","","21","59","binary","0.4826472962066182","0.0","0.5173527037933817","0.0","0","255","131.92493946731236","63,0,20,58"
"assets/characters/3221.png","3221-0","4","85,0,24,60","","24","60","binary","0.5354166666666667","0.0","0.46458333333333335","0.0","0","255","118.46875","85,0,23,59"
"assets/characters/3221.png","3221-0","5","110,0,21,59","","21","59","binary","0.4826472962066182","0.0","0.5173527037933817","0.0","0","255","131.92493946731236","110,0,20,58"
"assets/characters/3221.png","3221-0","6","132,0,15,59","","15","59","binary","0.32429378531073444","0.0","0.6757062146892655","0.0","0","255","172.3050847457627","132,0,14,58"
"assets/characters/3221.png","3221-0","7","148,0,17,58","","17","58","binary","0.34685598377281945","0.0","0.6531440162271805","0.0","0","255","166.55172413793105","148,0,16,57"
"assets/characters/3221.png","3221-1","0","0,61,20,61","","20","61","binary","0.48360655737704916","0.0","0.5163934426229508","0.0","0","255","131.68032786885246","0,61,19,60"
"assets/characters/3221.png","3221-1","1","21,61,21,60","","21","60","binary","0.5079365079365079","0.0","0.49206349206349204","0.0","0","255","125.47619047619048","21,61,20,59"
"assets/characters/3221.png","3221-1","2","43,61,21,58","","21","58","binary","0.4885057471264368","0.0","0.5114942528735632","0.0","0","255","130.43103448275863","43,61,20,57"
"assets/characters/3221.png","3221-1","3","65,61,21,60","","21","60","binary","0.5111111111111111","0.0","0.4888888888888889","0.0","0","255","124.66666666666667","65,61,20,59"
"assets/characters/3221.png","3221-1","4","87,61,20,61","","20","61","binary","0.49754098360655735","0.0","0.5024590163934426","0.0","0","255","128.12704918032787","87,61,19,60"
"assets/characters/3221.png","3221-1","5","108,61,21,60","","21","60","binary","0.5142857142857142","0.0","0.4857142857142857","0.0","0","255","123.85714285714286","108,61,20,59"
"assets/characters/3221.png","3221-1","6","130,61,20,58","","20","58","binary","0.46206896551724136","0.0","0.5379310344827586","0.0","0","255","137.17241379310346","130,61,19,57"
